index,sentence
1_1,잘하네.
1_3,11시까지였나?
1_4,거기?
1_26,승무원이요?
1_44,자취생이시구나!
1_82,앗!
1_101,식사하셨나요?
1_102,우와!
1_110,아직도?
1_137,고생하셨습니다.
1_157,팁이네요.
1_158,예약했어?
1_184,해외여행이요.
1_209,고생하시네요.
1_217,추천하나요?
1_221,생각했지.
1_225,부럽죠?
1_234,당연하죠!
1_262,대단하십니다.
1_278,벌써요?
1_281,효자잖아.
1_284,미스터리에요.
1_300,미안해요.
2_17,게장 먹었어요.
2_21,자신이 없네요.
2_25,넌 어때?
2_40,올 거예요.
2_42,멕시코 음식인가요?
2_45,저도 틀어야겠어요.
2_60,누군가는 가겠지?
2_62,어디가 필요하신가요?
2_67,카페도 좋아하세요?
2_85,뭘 먹어?
2_86,그러게 말이야.
2_89,부모님 차례입니다.
2_91,지금 치과세요?
2_93,입에서 녹아요!
2_109,맞아 아까워.
2_118,장난 아니더라고요.
2_130,뭐든 나오겠지?
2_132,봉사해 보셨나요?
2_160,역시 주말!
2_164,지금 방학이야?
2_176,집에서 가족이랑요.
2_180,같이 볼래요?
2_182,본인은 미쳐요.
2_198,저는 소금이요.
2_199,그러지 않았을까요?
2_202,언제 샀는데요?
2_205,5만 원이요.
2_217,그거 봤어요?
2_236,아직 학생이신가요?
2_239,나중에 찾아봐야겠네요.
2_240,결혼은 하셨어요?
2_250,청약 빨리했네.
2_265,진짜 추억이네요.
2_266,급식 맛있었어요?
2_286,뭐 사게?
2_296,그럼 유지해야겠네요.
3_9,배송도 해주긴 해요.
3_20,내 친구들 지켜!
3_25,피로가 싹 사라져.
3_29,그러면 무협지 읽어보세요.
3_30,오늘 엄청 따뜻하더라고요.
3_39,물가가 비싸지고 있어서요.
3_42,뭔가 매끈해 보이네?
3_52,겨울은 너무 추워서요.
3_54,무설탕 초콜릿은 어때?
3_65,아니 안 봄.
3_72,늦잠이나 실컷 자야겠어요.
3_74,저런 게 힐링이지!
3_87,저도 영화 좋아해요.
3_88,솔직히 배우고 싶음.
3_91,어디 거 좋아하세요?
3_98,하시는 거 있으세요?
3_110,겨울 간식 좋아하시나요?
3_122,저도 수영 좋아해요.
3_146,부모님하고 같이 살아요.
3_152,저도 정신이 없었어요.
3_159,놓치지 않을 거예요.
3_171,좋아하는 가수 있으신가요?
3_172,그런 거 있다던데요?
3_174,좋아하는 음식 있어?
3_176,나도 잘 몰라.
3_208,제출하고 싶은데 말해보세요.
3_216,전 수학 좋아요.
3_231,무슨 차 드세요?
3_232,그때가 진짜 대박이었는데!
3_237,왜 못 자?
3_241,요즘 뭐 하세요?
3_250,그런 것도 좋죠.
3_257,대화가 잘 되네요.
3_263,그거 뭔 맛임?
3_279,자금 지원 감사합니다.
3_291,국내 여행은 어떠세요?
3_297,그럭저럭 돌아다닐 만해요!
4_5,주로 어디서 중고 거래하세요?
4_10,방금 들어간 사람 누구야?
4_14,완독하시고 꼭 어땠는지 알려주세요.
4_16,저 부산 처음 가봐요.
4_27,문자 아니면 몰랐을 거예요.
4_35,너 건강검진 주기적으로 받음?
4_37,당연히 전문가 기준이라고 생각해요.
4_40,나도 조금 뻐근하긴 했어.
4_41,오늘 저녁은 뭐 먹었어?
4_48,추천하고 싶은 명소가 있나요?
4_49,갑작스러워서 준비도 못 했겠네요.
4_50,내일까지 논문 제출 기간이거든요?
4_61,그전에는 공연 쪽 아르바이트했거든요.
4_74,저도 그 장면 생각나네요.
4_78,진짜 받아주는 사람도 착하다.
4_79,내 말이 그 말이지.
4_80,적당히 소음이 있어야 해요.
4_82,집에서 키우시는 반려동물 있으신가요?
4_85,저는 할 줄은 몰라요.
4_86,완전히 다를 거 같아요.
4_99,혹시 어머니께서 반려동물 좋아하세요?
4_105,동호회 해본 적 있어?
4_113,좋아하는 게 너무 많네요.
4_114,그래도 바로 출근하면 되잖아요.
4_116,요즘 그거 많이 드시더라고요.
4_130,책 읽으시는 거 있으세요?
4_145,추리소설은 어떤 거 읽어보셨나요?
4_150,약간 결혼 생각은 있으세요?
4_151,그래도 둘 다 훌륭합니다.
4_153,연애도 안 하시는 건가요?
4_154,원래 꿈은 거창해야 해요.
4_176,조금씩 하면 안 돼요?
4_191,그거 씻는 것도 일이죠.
4_199,그때 뭐 사서 오셨나요?
4_210,그게 최고인 거 같아요.
4_211,전 무서워서 못 가겠던데요?
4_212,아이가 좋아할 것 같아요.
4_232,오늘 저녁에 계획 있으신가요?
4_234,어렸을 때부터 안 먹었어요.
4_241,집 근처 없어서 아쉽네요.
4_249,저도 액션 영화 좋아해요!
4_258,이번 주부터 날씨가 추워진대요.
4_264,쇼핑하러 어디로 주로 나가시나요?
4_266,3년이면 꽤 오래 하셨네요.
4_269,이번 여름에 여행을 다녀오셨나요?
4_271,저도 그 정도 되네요.
4_278,운동하고 와서 엄청나게 먹었어요.
4_279,다들 일본을 제일 좋아하더라고요.
4_286,젊을 때 많이 다녔어요.
5_3,중고 거래는 해보신 적 있으세요?
5_17,그냥 바다만 보고 있어도 좋더라고요.
5_21,화면 큰 거 좋아하시나 봐요?
5_42,진짜 불쾌하고 무례하다는 생각이 들더라고요.
5_57,건강관리만 잘해주면 괜찮은 거 같아요!
5_58,로컬 음식은 먹은 게 없어?
5_67,부대 앞에 김밥도 맛있지 않아요?
5_74,아예 안 먹는 것보단 낫잖아!
5_81,누가 슬리퍼 3만 원짜리 사냐고.
5_90,가장 최근에 쇼핑하신 거는 뭐예요?
5_96,세상에 맛있는 음식이 너무 많은걸요?
5_114,강아지는 엄마를 제일 많이 따라요.
5_128,등산 다니려면 뭘 사야 해?
5_131,내일 한 번 검색해 보셔요.
5_141,이럴 때라도 일상적인 대화하는 거지.
5_154,더워서 회사에선 에어컨 틀고 있었다.
5_157,어떤 파스타 소스를 제일 좋아하시나요?
5_161,최근에 즐기고 계시는 취미가 있으신가요?
5_174,사진전이나 미술관 가는 것도 좋아해요.
5_192,목욕탕 갈 때 쓰는 거.
5_211,저도 그래서 완결 나면 몰아봐요.
5_230,지금 관광객을 받긴 하나 보네?
5_253,따로 봉사활동은 안 하고 있어요.
5_255,정말 살찌는 지름길인 거 같아요.
5_267,요새는 숲이 있는 곳이 좋더라고요.
5_270,내일 뭐 먹을 거 있어?
5_278,그분들 잘생기기로 유명하신 분들 아닌가요?
6_22,그건 먹을 수 있을 거 같아요.
6_32,근데 최근 나온 영화는 못 봤어요.
6_40,요즘 편의점에는 안 파는 게 없네요?
6_45,하지만 마음속 한구석엔 순한 맛이 있습니다.
6_49,가끔 파스타 만들어 먹는데 귀찮다가도 맛있어요.
6_52,솔직히 운동해야지 싶긴 한데 자꾸 미루네요.
6_54,저 엄청 열심히 하는 거 아시죠?
6_58,나만의 향수 하나 있으면 좋긴 한데.
6_59,오늘 점심에 맛있는 거 나오면 좋겠네요.
6_62,음료수 좋아하신다고 했는데 좋아하는 브랜드는 있나요?
6_72,결혼 전에는 받아봤는데, 결혼하고는 안 받았어요.
6_85,예전엔 드라마 영화 좋아했는데 다 까먹었어요.
6_101,예전에는 좀 그런 게 없었나 봐.
6_116,딱히 신경 안 쓰지만 무조건 탄산이요.
6_127,스포츠는 직관이 젤 재밌는 것 같아요.
6_128,계속 비 오니 너무 집에만 있었어요.
6_130,강릉은 구석구석 찾아가는 재미가 있는 곳이에요.
6_135,가족에게 잘하는 사람이 최고인 것 같네요.
6_138,난 화장품이나 미용하는 거 안 보거든.
6_146,일주일 내내 같은 옷 입어야 함.
6_147,진짜 짐 정리는 한 번씩 해야겠더라고요.
6_156,주임님 건강 보조 식품 뭐 드세요?
6_184,그거 유명하다고 해서 비싸도 그거 샀어요.
6_185,저는 하는 거 없는데 이제 하려고요.
6_188,집안일 담당하시는 건 따로 없으신 거예요?
6_194,나가서 먹을지 시켜 먹을지 고민 중이에요.
6_224,결국 저녁같이 먹고 10시에 집 왔어요.
6_227,요즘 뭐 갖고 싶은 거 있으신가요?
6_231,예전엔 많이 찾아갔는데 요새는 못 갔어요.
6_238,어제도 밤에 러닝 크루 봤는데 멋지더라고요.
6_247,생각해 보고 궁금한 거 있으면 여쭤볼게요!
