index,sentence
2_39,정말 신선하네요.
2_53,독서 좋아하시나요?
2_80,어떤 약속인가요?
2_117,다들 수도권이네요.
2_132,봉사해 보셨나요?
2_139,그거 오늘이야?
2_232,십만 원짜리야.
2_281,진짜 맛있었어요.
2_296,그럼 유지해야겠네요.
3_61,디즈니 영화 좋아해서요.
3_80,맛있는 거 드셨나요?
3_112,나 일본어 몰라.
3_116,저는 샌드위치 먹었어요.
3_148,엄청나게 오래 하셨네요.
3_167,방금까지 일하고 왔어요.
3_246,그랬던 것 같아요.
3_276,그럴 거 같아.
4_49,갑작스러워서 준비도 못 했겠네요.
4_62,하는 건 너무 힘들죠.
4_65,그날이 하루빨리 왔으면 좋겠네요.
4_78,진짜 받아주는 사람도 착하다.
4_84,다이어트할 때 많이 드시더라고요.
4_136,요즘 물가가 너무 올랐어요.
4_143,많이는 아니고 조금 봤어요.
4_162,좋아하는데 계속 마시진 않아요.
4_187,하긴 나도 그렇긴 해.
4_253,단체 매표소 줄도 길겠어요.
4_281,올겨울쯤에는 먹을 수 있을까요?
5_4,은행 일은 잘 보고 있어요?
5_48,그래도 건강 챙기는 게 대단해요.
5_68,맛있는 라면 추천 부탁드려도 될까요?
5_111,요즘 즐겨 하시는 취미 있으신가요?
5_138,결국 오늘도 집에만 있게 됐어요.
5_210,인사동에도 한 번씩 전시하지 않아요?
5_232,고층일수록 좀 시원한 거 같아요.
5_259,딱히 먹고 싶은 건 없어요.
5_267,요새는 숲이 있는 곳이 좋더라고요.
5_268,촉촉해야 더 맛있는 거 같아요.
5_292,그러니까 화면이 안 꺼진다는 거지?
5_300,저도 마트랑 카페랑 여기저기서 해봤어요.
