index,sentence
2_11,은근히 재밌어요!
2_145,정말 맛있어요!
2_121,저런 거군요?
2_53,독서 좋아하시나요?
2_57,뭐가 있으려나?
2_106,어떤 건가요?
2_38,트렌치코트를 좋아해서요.
2_128,그것만 봤어요.
2_139,그거 오늘이야?
2_228,최저가라 좋아요.
3_109,취업이 어렵지 않으셨나요?
3_253,사실 가족인 거잖아요.
3_282,날씨 되게 좋네.
3_148,엄청나게 오래 하셨네요.
3_226,꽃게탕 너무 기대되네요!
3_280,뭐 먹으면 좋을까요?
3_155,확실히 비슷한 느낌이에요.
3_81,빨래가 안 마르네요.
3_273,라면 다 끓이셨나요?
3_149,맨날 구경만 해요.
4_195,어머 그런 게 있군요?
4_178,뭔가 돈 내긴 아깝더라고요.
4_143,많이는 아니고 조금 봤어요.
4_260,어디가 좀 저렴하게 나왔나요?
4_74,저도 그 장면 생각나네요.
4_219,요즘 소화는 잘 되시나요?
4_136,요즘 물가가 너무 올랐어요.
4_270,저도 한번 도전해 봐야겠네요.
4_187,하긴 나도 그렇긴 해.
4_140,저도 지금 그런 상태예요.
5_278,그분들 잘생기기로 유명하신 분들 아닌가요?
5_267,요새는 숲이 있는 곳이 좋더라고요.
5_108,그게 훨씬 좋아 보이긴 하네요.
5_268,촉촉해야 더 맛있는 거 같아요.
5_134,이미 하고 있는 거 아냐?
5_300,저도 마트랑 카페랑 여기저기서 해봤어요.
5_68,맛있는 라면 추천 부탁드려도 될까요?
5_210,인사동에도 한 번씩 전시하지 않아요?
5_11,그래서 엄마가 엄청 뭐라 함.
5_151,근데 거기 맛없다는 후기도 많더라.
